id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,right_yukari,right,,,,,,,,,1,
2,talk,right_yukari,right,やられたー!!!,,anger,white_tears,cat,,,,0,yukari-88
3,instantiate,maki,left,,,,,,,,,1,
4,talk,maki,left,やった!!,,anger,smile,laugh,,,,0,maki-69
5,talk,right_yukari,right,ぐぬぬぬぬ、とっておきの\n分身まで出したのに...!,,sad,white_tears,omega,,,,0,yukari-89
6,instantiate,frimomen,right,,frimomen_noise,,,,,,,1,
7,talk,frimomen,right,どうやら\n決着がついたようだな,,,,,,,,0,
8,out,right_yukari,right,,,,,,,,,1,
9,instantiate,yukari,left,,,normal,normal,mu,,,,1,
10,talk,frimomen,right,おめでとう、弦巻マキくん\nボイスロイドの頂点の座は\n君のものだ,,,,,,,,0,
11,talk,maki,left,やったー！,,normal,smile,laugh,,,,0,maki-70
12,talk,frimomen,right,これより\n表彰式を執り行うため、\nあちらへ向かってくれ,,,,,,,,0,
13,talk,yukari,left,さっきまで無かった所に\n道ができてる！,,normal,normal,o,,,,0,yukari-90
14,talk,frimomen,right,この空間は特別製でね、\nある程度なら私の意のままに\n動かせるのさ,,,,,,,,0,
15,talk,frimomen,right,せっかくだから\nゆかりくんにも同席して\nもらいたい所だが、\nいいかな？,,,,,,,,0,
16,talk,yukari,left,もちろんですよ！,,normal,smile,laugh,,,,0,yukari-91
17,talk,frimomen,right,それでは、\n会場でお待ちしているよ,,,,,,,,0,
18,out,frimomen,right,,,,,,,,,1,
19,out,maki,left,,,,,,,,,1,
20,out,yukari,left,,,,,,,,,1,
21,scene_change,,,stage6-FM,,Stage6-FY,,,,,,0,
