id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,right_yukari,right,,,,,,,,,1,
2,talk,right_yukari,right,やられたー!!!,,,,,,,,0,
3,instantiate,maki,left,,,,,,,,,1,
4,talk,maki,left,やった!!,,,,,,,,0,
5,talk,right_yukari,right,ぐぬぬぬぬぬぬ、とっておきの分身まで出したのに...!,,,,,,,,0,
6,instantiate,frimomen,right,,frimomen_noise,,,,,,,1,
7,talk,frimomen,right,どうやら決着がついたようだな,,,,,,,,0,
8,out,right_yukari,right,,,,,,,,,1,
9,instantiate,yukari,left,,,,,,,,,1,
10,talk,frimomen,right,おめでとう、弦巻マキくん\nボイスロイドの頂点の座は君のものだ,,,,,,,,0,
11,talk,maki,left,やったー！,,,,,,,,0,
12,talk,frimomen,right,これより表彰式を執り行うため、あちらへ向かってくれ,,,,,,,,0,
13,talk,yukari,left,さっきまで無かった所に道ができてる！,,,,,,,,0,
14,talk,frimomen,right,この空間は特別製でね、ある程度なら私の意のままに動かせるのさ,,,,,,,,0,
15,talk,frimomen,right,せっかくだからゆかりくんにも同席してもらいたい所だが、いいかな？,,,,,,,,0,
16,talk,yukari,left,もちろんですよ！,,,,,,,,0,
17,talk,frimomen,right,それでは、会場でお待ちしているよ,,,,,,,,0,
18,out,frimomen,right,,,,,,,,,1,
19,out,maki,left,,,,,,,,,1,
20,out,yukari,left,,,,,,,,,1,
21,scene_change,,,stage6-FM,,,,,,,,0,
