id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,maki,left,,,normal,normal,omega,,,,1,
2,instantiate,left_akane,left,,,normal,normal,omega,,,,1,
3,talk,left_akane,left,お、ずんちゃんや,,normal,normal,mu,,,,0,akane-20
4,talk,maki,left,やっほー,,normal,smile,laugh,,,,0,maki-27
5,instantiate,zunko,right,,,normal,close,mu,,,,1,
6,name_plate,zunko,right,東北姉妹次女 ずんだ餅に目が無い,,,,,,,,1,
7,talk,zunko,right,タイミングが悪いですね...,,sad,close,mu,,,,0,zunko-0
8,talk,zunko,right,イタコ姉さまとはぐれたまま二人組と会敵するなんて,,anger,half_open,mu,,,,0,zunko-1
9,talk,left_akane,left,ああ、\nそういうことなら大丈夫\nウチはもう戦力外だから\nほっといてええで,,normal,normal,laugh,,,,0,akane-21
10,talk,maki,left,今はこっちもちょっと都合が悪いから、平和的に行けるならその方が良いんだけど,,anger,half_open,o,,,,0,maki-28
11,talk,zunko,right,......。,,anger,close,mu,,,,0,
12,talk,zunko,right,いかなる状況であろうと、\n敵に背を向けるつもりは\nありません,,anger,normal,oxtu,,,,0,zunko-2
13,talk,zunko,right,先程はああ言いましたが、\n二人同時でも構いません\nかかってきなさい！,,anger,normal,laugh,,,,0,zunko-3
14,talk,left_akane,left,うおお、ずんちゃんもう\nバチバチモードやな,,sad,normal,laugh,,,,0,akane-22
15,talk,maki,left,見逃しては\nくれなさそうだなぁ,,sad,half_open,o,,,,0,maki-29
16,talk,left_akane,left,ウチの魔力もちょびっと\n回復したから、\nサポートくらいならできる\nかもやけど、どうする？,,normal,normal,mu,,,,0,akane-23
17,talk,maki,left,いやまぁ、\nやれるだけやってみるよ,,normal,smile,laugh,,,,0,maki-30
18,talk,left_akane,left,了解\n頼んだで！,,normal,smile,laugh,,,,0,akane-24
19,talk,zunko,right,作戦会議は済みましたか？,,anger,normal,omega,,,,0,zunko-4
20,talk,maki,left,うん、おまたせ！,,anger,normal,laugh,,,,0,maki-31
21,talk,zunko,right,それでは...,,anger,close,mu,,,,0,zunko-5
22,play_bgm,,,boss,,,,,,,,1,
23,talk,zunko,right,東北家次女、東北ずん子\n参ります！,,anger,normal,laugh,,,,0,zunko-6
24,out,maki,left,,,,,,,,,1,
25,out,left_akane,left,,,,,,,,,1,
26,out,zunko,right,,,,,,,,,1,
27,start_boss_battle,,,stage4_boss_result,,,,,,,,0,
