id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,maki,left,,,normar,normal,omega,,,,1,
2,instantiate,left_akane,left,,,normal,normal,omega,,,,1,
3,talk,left_akane,left,お、ずんちゃんや,,normal,normal,mu,,,,0,
4,talk,maki,left,やっほー,,normal,smile,laugh,,,,0,
5,instantiate,zunko,right,,,normal,close,mu,,,,1,
6,name_plate,zunko,right,東北姉妹次女 ずんだ餅に目が無い,,,,,,,,1,
7,talk,zunko,right,タイミングが悪いですね...,,sad,close,mu,,,,0,
8,talk,zunko,right,イタコ姉さまとはぐれたまま二人組と会敵するなんて,,anger,half_open,mu,,,,0,
9,talk,left_akane,left,ああ、\nそういうことなら大丈夫\nウチはもう戦力外だから\nほっといてええで,,normal,normal,laugh,,,,0,
10,talk,maki,left,今はこっちもちょっと都合が悪いから、平和的に行けるならその方が良いんだけど,,,,,,,,0,
11,talk,zunko,right,......。,,,,,,,,0,
12,talk,zunko,right,いかなる状況であろうと、敵に背を向けるつもりはありません,,,,,,,,0,
13,talk,zunko,right,先程はああ言いましたが、二人同時でも構いません\nかかってきなさい！,,,,,,,,0,
14,talk,left_akane,left,うおお、ずんちゃんもうバチバチモードやな,,,,,,,,0,
15,talk,maki,left,見逃してはくれなさそうだなぁ,,,,,,,,0,
16,talk,left_akane,left,ウチの魔力もちょびっと回復したから、サポートくらいならできるかもやけど、どうする？,,,,,,,,0,
17,talk,maki,left,いやまぁ、やれるだけやってみるよ,,,,,,,,0,
18,talk,left_akane,left,了解\n頼んだで！,,,,,,,,0,
19,talk,zunko,right,作戦会議は済みましたか？,,,,,,,,0,
20,talk,maki,left,うん、おまたせ！,,,,,,,,0,
21,talk,zunko,right,それでは...,,,,,,,,0,
22,play_bgm,,,boss,,,,,,,,1,
23,talk,zunko,right,東北家次女、東北ずん子\n参ります！,,,,,,,,0,
24,talk,maki,left,,,,,,,,,0,
25,out,maki,left,,,,,,,,,1,
26,out,left_akane,left,,,,,,,,,1,
27,out,zunko,right,,,,,,,,,1,
28,start_boss_battle,,,stage4_boss_result,,,,,,,,0,
