id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,frimomen,right,,,,,,,,,1,
2,talk,frimomen,right,やあ、よく来たね,frimomen_smile,,,,,,,0,
3,instantiate,yukari,left,,,,,,,,,1,
4,instantiate,maki,left,,,,,,,,,1,
5,talk,maki,left,表彰式ってわりには簡素な場所だね？,,normal,normal,o,,,,0,maki-76
6,talk,yukari,left,会場は別なんですかねぇ,,normal,close,omega,,,,0,yukari-100
7,talk,frimomen,right,ああ、その前に一つ、\n昔話をさせてもらえるかな,frimomen_close,,,,,,,0,
8,talk,maki,left,？,,normal,normal,o,,,,0,
9,talk,frimomen,right,とある組織の、とある\nマスコットキャラクターの\n話だ,frimomen_close,,,,,,,0,
10,talk,frimomen,right,彼は長きに渡り、様々な\n手段で組織を支えてきた,frimomen,,,,,,,0,
11,talk,frimomen,right,広報活動だったり、\nメディア展開だったりな,frimomen_smile,,,,,,,0,
12,talk,frimomen,right,そうこうしているうちに\n組織は大きくなり、\nキャラクターの数も\n増えてきた,frimomen_close,,,,,,,0,
13,talk,frimomen,right,キャラクターを題材とした\n製品も生まれ、シリーズ化\nしてシェアを広げていった,frimomen_close,,,,,,,0,
14,talk,frimomen,right,そう、\n君たちボイスロイドの事だ,frimomen,,,,,,,0,
15,talk,maki,left,...,,anger,half_open,o,,,,0,
16,talk,frimomen,right,ピンとこないか、\nそれでは完結に述べよう,frimomen_close,,,,,,,0,
17,talk,frimomen,right,最古参とも言える俺が、未だにボイスロイド化していないのはおかしいと思わないか？,frimomen,,,,,,,0,
18,talk,maki,left,へ？,,normal,white,o,,,,0,maki-77
19,talk,yukari,left,はい？,,normal,white,o,,,,0,yukari-101
20,talk,frimomen,right,おっと、\nこれは2021年時点での話だ,frimomen_smile,,,,,,,0,
21,talk,frimomen,right,来年にはもうなってる\nだろうから、\n注意書きしておかないとな,frimomen_close_smile,,,,,,,0,
22,talk,yukari,left,無用な心配ですよ,,normal,half_open,mu,,,,0,yukari-102
23,talk,frimomen,right,ともかく、\nそれから俺は考えた,frimomen,,,,,,,0,
24,talk,frimomen,right,なぜ、なぜこれまで\nずっと活躍してきたこの俺が\n製品化されないのか,frimomen,,,,,,,0,
25,talk,frimomen,right,どうしたらこの状況を打開し、フリモメンのシェア率を上げる事ができるのか,frimomen,,,,,,,0,
26,stop_bgm,,,,,,,,,,,1,
27,talk,frimomen,right,考えて考えて、\n一つの結論に辿り着いた,frimomen_close,,,,,,,0,
28,play_bgm,,,frimomen1st,,,,,,,,1,
29,talk,frimomen,right,全員いなくなればいい,frimomen,,,,,,,0,
30,talk,frimomen,right,そして、俺が\n唯一のボイスロイドとして\n君臨すれば良いということに,frimomen_close,,,,,,,0,
31,talk,frimomen,right,この大会は、君たち\nボイスロイドが潰し合い、\n疲弊した所を始末するための舞台装置だったというわけさ,frimomen_smile,,,,,,,0,
32,talk,maki,left,信じられない...\nそんな事のために、私達を,,anger,half_open,o,,,,0,maki-78
33,talk,frimomen,right,戦えそうな奴らはだいたい\n君たちが倒してくれた\nそうじゃないか\n感謝しているよ,frimomen_close_smile,,,,,,,0,
34,talk,maki,left,きさま...,,anger,normal,gaa,,,,0,maki-79
35,talk,yukari,left,熱くなっても仕方ないですよ\n今できる事をしましょう,,anger,normal,o,,,,0,yukari-103
36,talk,maki,left,ゆかりん...,,anger,normal,o,,,,0,maki-80
37,talk,maki,left,疲れてると思うけど、\nもう一度協力してくれる？,,sad,normal,laugh,,,,0,maki-81
38,talk,yukari,left,もちろんです、任せて下さい,,anger,normal,laugh,,,,0,yukari-104
39,talk,frimomen,right,負けたほうもまだ動けるとは少々誤算だが、まぁいい,frimomen,,,,,,,0,
40,talk,frimomen,right,まずは君等二人を片付け、\nその後他の連中を\n始末しよう,frimomen_close_smile,,,,,,,0,
41,talk,frimomen,right,まとめて\nかかってくるがいい！,frimomen,,,,,,,0,
42,talk,maki,left,あいつをここで止めよう！,,anger,normal,gaa,,,,0,maki-82
43,talk,yukari,left,ええ！いきますよ！,,anger,normal,laugh,,,,0,yukari-105
44,out,frimomen,right,,,,,,,,,1,
45,out,maki,left,,,,,,,,,1,
46,out,yukari,left,,,,,,,,,1,
47,start_boss_battle,,,stage6_boss_frimomen_result,,,,,,,,0,
