id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,yukari,left,,,,,,,,,1,
2,talk,yukari,left,最終地点ってわりには\n特になんにも無いんですねぇ,,normal,normal,o,,,,0,yukari-76
3,instantiate,right_maki,right,,,,,,,,,1,
4,talk,right_maki,right,そうだね、どうしてここをゴールにしたんだろ？,,normal,normal,o,,,,0,maki-57
5,talk,yukari,left,まー、もともと\n粗の多い企画でしたし、\nきっと深い意味は\n無いでしょう,,normal,close,omega,,,,0,yukari-77
6,talk,yukari,left,それに、何かあるにしても\nこの後すぐに明らかに\nなりますよ,,normal,half_open,nisisi,,,,0,yukari-78
7,talk,right_maki,right,ここで決着が\nつくわけだからね！,,normal,smile,laugh,,,,0,maki-58
8,talk,right_maki,right,...,,normal,close,omega,,,,0,
9,talk,yukari,left,...,,normal,close,omega,,,,0,
10,talk,right_maki,right,ふー...,,anger,close,o,,,,0,maki-59
11,talk,right_maki,right,準備はいい？,,anger,normal,laugh,,,,0,maki-60
12,talk,yukari,left,ええ、もちろん,,anger,normal,smile,,,,0,yukari-79
13,play_bgm,,,boss_maki,,,,,,,,1,
14,talk,right_maki,right,それじゃあ、行くよ！,,anger,normal,gaa,,,,0,maki-61
15,talk,yukari,left,勝負です！,,anger,normal,laugh,,,,0,yukari-80
16,out,yukari,left,,,,,,,,,1,
17,out,right_maki,right,,,,,,,,,1,
18,start_boss_battle,,,stage6_boss_result_y,,,,,,,,0,
