id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,yukari,left,,,,,,,,,1,
2,talk,yukari,left,最終地点ってわりには\n特になんにも無いんですねぇ,,,,,,,,0,
3,instantiate,right_maki,right,,,,,,,,,1,
4,talk,right_maki,right,そうだね、どうしてここをゴールにしたんだろ？,,,,,,,,0,
5,talk,yukari,left,まー、もともと\n粗の多い企画でしたし、\nきっと深い意味は\n無いでしょう,,,,,,,,0,
6,talk,yukari,left,それに、何かあるにしても\nこの後すぐに明らかに\nなりますよ,,,,,,,,0,
7,talk,right_maki,right,ここで決着が\nつくわけだからね！,,,,,,,,0,
8,talk,right_maki,right,...,,,,,,,,0,
9,talk,yukari,left,...,,,,,,,,0,
10,talk,right_maki,right,ふー...,,,,,,,,0,
11,talk,right_maki,right,準備はいい？,,,,,,,,0,
12,talk,yukari,left,ええ、もちろん,,,,,,,,0,
13,play_bgm,,,boss_maki,,,,,,,,1,
14,talk,right_maki,right,それじゃあ、行くよ！,,anger,normal,laugh,,,,0,
15,talk,yukari,left,勝負です！,,,,,,,,0,
16,out,yukari,left,,,,,,,,,1,
17,out,right_maki,right,,,,,,,,,1,
18,start_boss_battle,,,stage6_boss_result_y,,,,,,,,0,
