id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,frimomen,right,,frimomen_noise,,,,,,,1,
2,talk,frimomen,right,あー、あー、\nこちら実況解説席,,,,,,,,0,
3,talk,frimomen,right,よくぞここまで辿り着いた！,,,,,,,,0,
4,talk,frimomen,right,次のエリアが最終地点だ\nそこで存分に戦い、\nトップを決めていただこう,,,,,,,,0,
5,talk,frimomen,right,それでは、健闘を祈る,,,,,,,,0,
6,out,frimomen,right,,,,,,,,,1,
7,talk,,center,ツー、ツー、ツー,,,,,,,,0,
8,instantiate,maki,left,,,,,,,,,1,
9,instantiate,yukari,left,,,anger,normal,smile,,,,1,
10,talk,maki,left,いよいよだね,,anger,normal,laugh,,,,0,maki-52
11,talk,yukari,left,そうですね,,anger,close,omega,,,,0,yukari-72
12,talk,yukari,left,ここで私達のタッグも\n解散です,,anger,normal,laugh,,,,0,yukari-73
13,talk,maki,left,せっかくここまで\n来たんだし、\n悔いのないように\n全力で戦おう！,,anger,smile,laugh,,,,0,maki-53
14,talk,yukari,left,もちろんです、\nそして勝つのは私です,,anger,close,omega,,,,0,yukari-74
15,talk,maki,left,はっはっは,,normal,smile,laugh,,,,0,maki-54
16,talk,maki,left,負けないよ！,,anger,half_open,laugh,,,,0,maki-55
17,talk,yukari,left,とりあえず\n決戦の地に参りましょうか,,normal,normal,laugh,,,,0,yukari-75
18,talk,maki,left,そうだね！,,normal,normal,laugh,,,,0,maki-56
19,out,yukari,left,,,,,,,,,1,
20,out,maki,left,,,,,,,,,1,
21,end,,,,,,,,,,,0,
