id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,yukari,left,,,anger,half_open,mu,,,,1,
2,instantiate,left_aoi,left,,,normal,normal,omega,,,,1,
3,talk,left_aoi,left,...向こうに人影が,,anger,half_open,mu,,,,0,
4,talk,yukari,left,む！あの人は...,,,,,,,,0,
5,instantiate,itako,right,,,normal,normal,omega,,,,1,
6,name_plate,itako,right,東北姉妹長女 降霊術が得意,,,,,,,,1,
7,talk,itako,right,困りましたわ...,,sad,normal,omega,spirit_sad,,,0,
8,talk,itako,right,まさか穴に落ちて\nしまうだなんて...\n急いでずんちゃんと\n合流しなくちゃ...,,sad,white_tears,cat,spirit_sad,,,0,
9,talk,itako,right,どうにか地上に....\nあら？,,sad,white_tears,omega,spirit_sad,,,0,
10,talk,itako,anger_right,ちゅわーっ？！,,sad,white_tears,laugh,spirit_sad,,,0,
11,talk,left_aoi,left,やっと気づいたみたいです,,normal,normal,mu,,,,0,
12,talk,yukari,left,相変わらず\nおっとりしていますね,,normal,close,omega,,,,0,
13,talk,itako,right,び、びっくりしましたわ...,,sad,white_tears,omega,spirit_sad,,,0,
14,talk,itako,right,珍しい組み合わせですわね、こんなところで何を？,,normal,normal,cat,spirit_normal,,,0,
15,talk,yukari,left,それは,,normal,normal,o,,,,1,
16,talk,itako,right,いえ、大会中に\n詮索など無用ですわね,,anger,half_open,mu,spirit_anger,,,0,
17,talk,itako,right,たとえ2対1であろうと、\nこの東北イタコ、\n退くわけにはまいりません,,anger,close,omega,spirit_anger,,,0,
18,talk,left_aoi,left,いや私は,,normal,normal,mu,,,,1,
19,play_bgm,,,boss,,,,,,,,1,
20,talk,itako,right,東北家長女の矜持、\nお見せして\n差し上げましょう！,,anger,normal,cat,spirit_anger,,,0,
21,talk,left_aoi,left,話を聞いてもらえませんね...,,anger,half_open,mu,,,,0,
22,talk,yukari,left,ここは一つ、王道の物理で\n大人しくなって頂きましょう,,anger,close,omega,,,,0,
23,talk,left_aoi,left,...まぁ、頑張ってください,,normal,close,triangle,,,,0,
24,talk,yukari,left,ええ！,,anger,smile,laugh,,,,0,
25,out,yukari,left,,,,,,,,,1,
26,out,left_aoi,left,,,,,,,,,1,
27,out,itako,right,,,,,,,,,1,
28,start_boss_battle,,,stage3_boss_result,,,,,,,,0,
