id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,yukari,left,,,,,,,,,1,
2,instantiate,maki,left,,,normal,normal,omega,,,,1,
3,instantiate,akane,right,,,sad,guruguru,cat,,,,1,
4,instantiate,aoi,right,,,sad,guruguru,mu,,,,1,
5,talk,aoi,right,きゅう,,sad,guruguru,mu,,,,0,
6,talk,akane,right,やられたー！,,,,,,,,0,
7,out,yukari,left,,,,,,,,,1,
8,out,maki,left,,,,,,,,,1,
9,out,akane,right,,,,,,,,,1,
10,out,aoi,right,,,,,,,,,1,
11,scene_change,,,stage4-1,,,,,,,,0,
