id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,right_maki,right,,,,,,,,,1,
2,talk,right_maki,right,負けたー!!,,anger,white_tears,gaa,,,,0,
3,instantiate,yukari,left,,,,,,,,,1,
4,talk,yukari,left,よっしゃあ!!,,anger,cross,laugh,,,,0,
5,talk,right_maki,right,くっそー\nだめだったかー,,sad,white_tears,omega,,,,0,
6,instantiate,frimomen,right,,frimomen_noise,,,,,,,1,
7,talk,frimomen,right,どうやら\n決着がついたようだな,,,,,,,,0,
8,out,right_maki,right,,,,,,,,,1,
9,instantiate,maki,left,,,normal,normal,omega,,,,1,
10,talk,frimomen,right,おめでとう、結月ゆかりくん\nボイスロイドの頂点の座は\n君のものだ,,,,,,,,0,
11,talk,yukari,left,どんなもんですか,,anger,close,omega,,,,0,
12,talk,frimomen,right,これより\n表彰式を執り行うため、\nあちらへ向かってくれ,,,,,,,,0,
13,talk,maki,left,あれ、あんなところに\n道なんてあったっけ？,,normal,normal,o,,,,0,
14,talk,frimomen,right,この空間は特別製でね、\nある程度なら私の意のままに\n動かせるのさ,,,,,,,,0,
15,talk,frimomen,right,せっかくだからマキくんにも同席してもらいたい所だが、いいかな？,,,,,,,,0,
16,talk,maki,left,もちろん！,,normal,smile,laugh,,,,0,
17,talk,frimomen,right,それでは、\n会場でお待ちしているよ,,,,,,,,0,
18,out,frimomen,right,,,,,,,,,1,
19,out,maki,left,,,,,,,,,1,
20,out,yukari,left,,,,,,,,,1,
21,scene_change,,,stage6-FY,,Stage6-M,,,,,,0,
